wav_filename,wav_filesize,transcript,split
voix_1.wav,0,Boytone - 2500W 2.1-Ch. Système de cinéma maison - Black Diamond,2.3197046549498537
voix_10.wav,0,DENAQ - Adaptateur secteur pour TOSHIBA SATELLITE 1700 1710 1715 1730 1735 1750 1755 1955 3000 3005 A100 M30X M35X - Noir,-0.42335519845243286
voix_100.wav,0,NS-SP1800BL Système de cinéma maison 5.1 canaux (noir),-0.5376523768210909
voix_1001.wav,0,Système d'enceintes home cinéma Acoustimass série 6 V (noir),-0.151798173140416
voix_1003.wav,0,Corsair Vengeance LPX 16 Go (2x8 Go) DDR4 DRAM 3000MHz C15 Desktop Memory Kit - Noir (CMK16GX4M2B3000C15),-0.5930737308590683
voix_1005.wav,0,Caméra vidéo Wi-Fi pour animaux de compagnie Motorola,1.2576237703655848
voix_1006.wav,0,Détails sur les écouteurs de fitness sans fil Samsung Gear Iconx 2018 Edition noir (version américaine),0.9935673657984181
voix_1007.wav,0,Disque dur NAS interne SATA III 3.5 2 To Rouge 5400 tr / min,-0.131174299047915
voix_1008.wav,0,Détails sur Panamax Mr4000 8outlets Surge Protector Home Theater Power Line Management,-0.5080374329945417
voix_1009.wav,0,Détails sur les haut-parleurs de voiture coaxiaux Alpine 480w 6.5 2 voies avec tweeters en soie | Spe 6000,0.4368963219909253
voix_101.wav,0,Transcend - Disque SSD interne Serial ATA III JetDrive 420 480 Go pour certains ordinateurs Apple®,0.32640059378200986
voix_1010.wav,0,Chargeur de Batterie Externe Portable Universel Samsung 3100mAh - Blanc,-0.583418309161039
voix_1011.wav,0,Casque d'écoute sans fil Bluetooth stéréo Air-Fi Runaway AF32 avec microphone caché (noir et rouge),-2.395886685731585
voix_1012.wav,0,SpeakerCraft - 6 1/2 haut-parleurs de plafond (paquet de 5) - Blanc,0.15824092630297923
voix_1013.wav,0,Peerless - Plaque de plafond ronde pour la plupart des supports de projecteur Peerless-AV - Noir,-0.06565012278006471
voix_1015.wav,0,Panamax - Parasurtenseur à 11 prises - Noir,1.448773390028516
voix_1016.wav,0,Type Cover pour Microsoft Surface Pro 4 avec identification d'empreinte digitale,-0.7338634851963085
voix_1018.wav,0,Niles - Sélecteur d'enceintes 4 paires SS-4 - Noir,0.26453752443886486
voix_1019.wav,0,SpeakerCraft - Profile CRS6 Deux haut-parleurs encastrables au plafond 6-1 / 2 (chacun) - Noir,-0.5703699878622374
voix_102.wav,0,Mémoire de bureau CORSAIR VENGEANCE RGB 16 Go (2x8 Go) DDR4 3200 MHz C16 - Noir,0.1495616680346784
voix_1022.wav,0,Sac à dos Flipside 300 (noir),-0.6648986944594893
voix_1023.wav,0,"Samsung - Classe 50 (Diag. 49,5 "") - LED - 1080p - Intelligent - HDTV",-0.2517090103912834
voix_1024.wav,0,Haut-parleur Bluetooth stéréo rechargeable anti-éclaboussures iHome - Noir (IBT33BC),0.26835360061795827
voix_1027.wav,0,Corsair CMSA8GX3M2A1066C7 Kit double canal Apple 8 Go DDR3 1066 (PC3 8500) Mémoire SO-DIMM pour ordinateur portable DDR3 204 broches 15 V,-0.08593669275019493
voix_1028.wav,0,Support mural inclinable universel ST640P pour 32 à 50 écrans,0.16133625665973814
